Index,Id,Status,Sex,Age,Deme,fgene0,fgene1,fgene2,mgene0,mgene1,mgene2,phen0,phen1,phen2
0,11,1,1,5,0,0.0718214,-0.0391732,0.0525144,0.00365706,0.0482511,-0.167751,10,0.5,0.37647
1,12,1,0,5,0,-0.0679983,0.140383,0.204806,-0.19167,-0.0625026,-0.030454,10,0.5,0.632969
2,112,1,0,5,0,0.0918836,0.00935752,-0.185606,0.0574139,0.00551634,-0.129777,10,0.5,0.199193
3,182,1,0,5,0,0.0816999,0.0289936,-0.0787145,0.0914493,-0.0340899,-0.0424282,10,0.5,0.371239
4,206,1,1,5,0,-0.149306,0.0919992,-0.199015,0.136108,-0.0138001,0.0599241,10,0.5,0.355342
5,210,1,1,5,0,-0.000311832,-0.0470417,-0.0717985,0.0718214,-0.0391732,0.0525144,10,0.5,0.461459
6,216,1,1,5,0,-0.022657,0.0872899,-0.141672,-0.0107399,-0.00872093,-0.114609,10,0.5,0.251543
7,220,1,1,5,0,0.0693332,-0.0194284,-0.00196361,0.0278112,-0.029499,0.0619392,10,0.5,0.531662
8,227,1,0,5,0,-0.19167,-0.0625026,0.204806,0.18978,-0.10373,0.0119665,10,0.5,0.670542
9,602,1,0,4,0,-0.0494704,0.0352776,-0.071654,0.0352726,-0.0715264,0.0409958,10,0.5,0.411751
10,645,1,1,4,0,-0.0088722,-0.00225835,-0.0626328,-0.121037,0.169365,-0.0523462,10,0.5,0.328767
11,669,1,0,4,0,-0.0811159,-0.127416,0.0409958,-0.0597838,-0.172633,-0.17565,10,0.5,0.309404
12,680,1,1,4,0,-0.181677,0.222485,0.160775,0.00365706,-0.0391732,-0.167751,10,0.5,0.435058
13,683,1,0,4,0,-0.022657,-0.258217,-0.141672,0.0993753,0.200106,-0.0931748,10,0.5,0.210799
14,688,1,1,4,0,-0.0118814,0.200106,0.0105063,0.0996125,-0.226361,0.204806,10,0.5,0.653823
15,727,1,1,4,0,-0.140292,-0.033265,-0.0931748,-0.0597838,-0.172633,-0.17565,10,0.5,0.17736
16,738,1,1,4,0,-0.0304611,0.00551634,-0.00955751,-0.0992825,0.0370861,0.177815,10,0.5,0.607514
17,740,1,1,4,0,-0.173099,0.0381239,0.177815,-0.0597838,-0.0986366,0.140366,10,0.5,0.755061
18,756,1,0,4,0,-0.0506013,-0.12078,-0.061082,0.0238125,-0.0621384,-0.148647,10,0.5,0.235519
19,770,1,0,4,0,0.0352726,-0.00872093,-0.019566,0.0278112,-0.0956569,-0.203168,10,0.5,0.22272
20,777,1,0,4,0,0.0280758,-0.103562,-0.034441,-0.0136112,0.0754563,0.0627503,10,0.5,0.469784
21,778,1,0,4,0,0.18978,-0.0625026,0.204806,0.0718214,-0.0470417,0.0525144,10,0.5,0.695165
22,794,1,1,4,0,-0.0757814,0.134875,0.030388,0.0914493,-0.127416,0.117364,10,0.5,0.587334
23,797,1,0,4,0,-0.140085,-0.157627,0.0462718,0.0398369,-0.0527861,-0.00699485,10,0.5,0.480578
24,808,1,1,4,0,0.0442896,-0.055841,-0.0174531,0.131288,-0.0226097,0.160775,10,0.5,0.582974
25,832,1,1,4,0,-0.229807,-0.0705341,0.0181428,0.0701613,0.134875,0.00460105,10,0.5,0.464307
26,838,1,1,4,0,0.0442896,0.169365,0.171453,0.0311575,0.0180794,-0.019566,10,0.5,0.591403
27,842,1,1,4,0,0.0574139,-0.103491,0.179763,0.0453465,-0.0610469,-0.141672,10,0.5,0.479411
28,849,1,1,4,0,0.0979729,-0.157627,-0.061082,-0.0597838,-0.0470417,0.0247203,10,0.5,0.406138
29,865,1,0,4,0,0.0979729,-0.12078,-0.0538557,0.0708506,-0.0625026,-0.030454,10,0.5,0.35895
30,874,1,1,4,0,0.0816999,0.0289936,-0.0787145,-0.173099,-0.103491,-0.012028,10,0.5,0.352619
31,879,1,0,4,0,0.0419184,-0.0527861,-0.00699485,0.0708506,-0.046093,-0.141123,10,0.5,0.296154
32,921,1,1,4,0,0.0754317,-0.059808,-0.00792649,0.0398369,-0.0715264,-0.019566,10,0.5,0.414867
33,945,1,1,4,0,0.116464,-0.0621384,0.179763,0.116464,0.0352776,0.179763,10,0.5,0.795751
34,948,1,0,4,0,-0.121037,-0.0985847,-0.114609,-0.0309985,0.0424388,-0.198843,10,0.5,0.13344
35,987,1,1,4,0,-0.174552,-0.0957347,-0.00699485,-0.181677,-0.12078,0.105968,10,0.5,0.539328
36,1019,1,1,4,0,-0.181677,0.222485,0.160775,0.0754317,-0.172633,0.140366,10,0.5,0.738291
37,1024,1,1,4,0,0.0816999,-0.0447786,0.0040247,0.0278112,-0.0956569,0.0619392,10,0.5,0.506842
38,1040,1,1,4,0,0.0269239,-0.029499,0.0619392,0.0278112,-0.088774,0.0619392,10,0.5,0.563839
39,1045,1,1,4,0,-0.100691,0.0531953,-0.0940392,0.00672262,-0.0891997,0.127114,10,0.5,0.474475
40,1069,1,0,4,0,-0.151191,-0.0236419,0.0873613,0.0754317,-0.172633,0.140366,10,0.5,0.666041
41,1075,1,1,4,0,0.185671,-0.0705341,0.0181428,-0.140292,0.200106,0.105968,10,0.5,0.564067
42,1086,1,1,4,0,0.0820233,0.00115449,0.030388,0.0325571,0.0180794,0.0247203,10,0.5,0.496159
43,1095,1,0,4,0,0.000155982,-0.00872093,0.0794922,0.0979729,-0.12078,-0.061082,10,0.5,0.460042
44,1100,1,0,4,0,0.0574139,0.0735077,0.179763,-0.140085,-0.12078,-0.0538557,10,0.5,0.565835
45,1111,1,0,4,0,0.000155982,0.0671704,-0.034441,0.0560289,0.0771156,0.030388,10,0.5,0.437935
46,1125,1,0,4,0,-0.0241653,-0.0104522,0.0040247,0.131288,0.0349155,0.030388,10,0.5,0.475791
47,1131,1,0,4,0,-0.121037,0.169365,0.171727,-0.022657,-0.258217,0.0540249,10,0.5,0.664098
48,1171,1,0,4,0,0.116464,0.0352776,0.179763,-0.0269403,-9.8521e-05,-0.0215852,10,0.5,0.597594
49,1187,1,0,4,0,0.0574139,0.00551634,-0.012028,0.0563905,0.00935752,0.171727,10,0.5,0.599092
50,1195,1,1,4,0,0.18978,-0.196379,-0.00955751,0.185671,-0.0634339,-0.269139,10,0.5,0.167645
51,1197,1,1,4,0,-0.140292,0.0546663,-0.0931748,0.0238125,-0.0621384,-0.00792649,10,0.5,0.342425
52,1204,1,1,4,0,-0.19167,-0.0625026,-0.0940392,0.0996125,0.140383,0.0359381,10,0.5,0.384744
53,1225,1,1,4,0,-0.0811159,-0.0298185,0.117364,-0.0507314,-0.0236419,0.0213059,10,0.5,0.578396
54,1228,1,1,4,0,-0.140085,-0.0634343,-0.198843,-0.0597838,0.0754563,0.0627503,10,0.5,0.307988
55,1230,1,0,4,0,-0.0757814,0.134875,-0.211662,-0.0188363,-0.0527861,0.0540249,10,0.5,0.286785
56,1232,1,1,4,0,0.0816999,0.0289936,-0.0424282,-0.0136112,0.0754563,0.0627503,10,0.5,0.461924
57,1239,1,0,4,0,0.0238125,-0.0621384,0.0976818,-0.000311832,-0.0391732,-0.0717985,10,0.5,0.467397
58,1252,1,1,4,0,0.000155982,-0.103562,-0.034441,0.116464,-0.029499,-0.00955751,10,0.5,0.398623
59,1253,1,1,4,0,0.00365706,-0.0102681,0.0525144,-0.0849979,-0.0239877,0.0628915,10,0.5,0.5555
60,1300,1,0,4,0,-0.264539,0.0252698,-0.141123,-0.0867219,-0.0891997,0.127114,10,0.5,0.428137
61,1305,1,1,4,0,0.0238125,0.0703892,0.0976818,-0.08627,-0.0298185,0.0409958,10,0.5,0.578403
62,2012,1,0,3,0,0.000155982,-0.0610469,-0.0626328,-0.0506013,-0.0634343,-0.269139,10,0.5,0.0384474
63,2013,1,1,3,0,0.0442896,0.200106,-0.0174531,-0.173099,0.0381239,0.177815,10,0.5,0.576595
64,2015,1,0,3,0,0.0311575,-0.055841,-0.034441,-0.0506013,0.207166,-0.269139,10,0.5,0.0692751
65,2025,1,1,3,0,-0.121037,0.169365,-0.141123,0.0280758,0.0487256,0.0105063,10,0.5,0.258411
66,2026,1,0,3,0,-0.264539,-0.0815379,-0.211662,0.185671,-0.0985847,-0.269139,10,0.5,-0.124516
67,2037,1,1,3,0,-0.0350953,0.0877409,-0.129777,-0.181677,0.0252698,0.160775,10,0.5,0.435136
68,2042,1,0,3,0,-0.0679983,-0.0625026,-0.030454,0.0563905,0.0738515,-0.185606,10,0.5,0.164978
69,2043,1,1,3,0,-0.0849979,-0.00585709,0.160775,0.0346932,0.0790801,-0.203168,10,0.5,0.354882
70,2044,1,1,3,0,-0.181677,-0.0391732,-0.0174531,0.131288,-0.0829439,0.0941633,10,0.5,0.485122
71,2050,1,1,3,0,-0.000311832,0.0424388,-0.0400209,-0.13827,-0.103491,0.177815,10,0.5,0.551917
72,2064,1,1,3,0,-0.000311832,0.117602,-0.0717985,0.0574139,0.0352776,-0.012028,10,0.5,0.309575
73,2068,1,1,3,0,-0.173099,-0.135296,0.122126,-0.0506013,-0.0634343,-0.17565,10,0.5,0.342711
74,2074,1,1,3,0,0.131288,0.222485,0.160775,0.0280758,0.0487256,0.0105063,10,0.5,0.588536
75,2083,1,1,3,0,0.0366108,0.134875,0.177815,0.0701613,-0.0610469,0.00460105,10,0.5,0.600711
76,2086,1,1,3,0,0.185671,0.0919992,-0.199015,0.0754317,0.222485,0.160775,10,0.5,0.359425
77,2088,1,0,3,0,-0.000311832,0.0370861,-0.0400209,0.0918836,0.134875,0.00460105,10,0.5,0.362508
78,2104,1,0,3,0,0.0442896,0.169365,0.171453,-0.0309985,-0.0957347,-0.198843,10,0.5,0.371288
79,2108,1,0,3,0,-0.126853,-0.12078,0.14728,0.0397055,-0.0340899,0.171727,10,0.5,0.750074
80,2112,1,1,3,0,0.0560289,-0.0462286,0.0540249,0.109591,0.0568084,0.122094,10,0.5,0.593825
81,2140,1,1,3,0,-0.0849979,-0.0829439,0.0181194,-0.0494704,-0.10373,-0.071654,10,0.5,0.3427
82,2141,1,0,3,0,-0.0304611,0.0735077,0.0359381,0.0269239,-0.088774,0.0619392,10,0.5,0.508269
83,2143,1,1,3,0,-0.08627,-0.0634343,-0.0739538,0.0816999,-0.258217,-0.141123,10,0.5,0.166054
84,2145,1,0,3,0,0.0269239,0.00529071,0.0181428,-0.140085,-0.00585709,-0.198843,10,0.5,0.203644
85,2149,1,0,3,0,0.0574139,0.00935752,0.171727,0.0563905,0.00935752,-0.185606,10,0.5,0.386063
